year,household_id,mobilebank_year,income
2004,7,,2023.328
2003,7,,2017.723
2002,7,,2019.314
2017,8,,2036.507
2016,8,,2032.713
2015,8,,2032.819
2014,8,,2031.669
2013,8,,2028.935
2012,8,,2026.104
2011,8,,2024.544
2010,8,,2026.165
2009,8,,2024.186
2008,8,,2025.435
2007,8,,2021.23
2006,8,,2021.495
2005,8,,2024.708
2004,8,,2024.884
2003,8,,2016.677
2002,8,,2018.794
2017,9,,2035.956
2016,9,,2032.545
2015,9,,2032.037
2014,9,,2030.407
2013,9,,2028.261
2012,9,,2028.874
2011,9,,2026.434
2010,9,,2027.063
2009,9,,2026.792
2008,9,,2024.25
2007,9,,2024.221
2006,9,,2021.694
2005,9,,2023.721
2004,9,,2024.306
2003,9,,2018.063
2002,9,,2022.208
2017,10,,2038.45
2016,10,,2035.268
2015,10,,2035.635
2014,10,,2034.651
2013,10,,2029.755
2012,10,,2028.079
2011,10,,2029.242
2010,10,,2030.619
2009,10,,2027.182
2008,10,,2026.784
2007,10,,2026.585
2006,10,,2025.829
2005,10,,2024.802
2004,10,,2024.175
2003,10,,2020.8
2002,10,,2025.325
2017,11,,2035.268
2016,11,,2034.068
2015,11,,2032.669
2014,11,,2030.722
2013,11,,2027.311
2012,11,,2027.821
2011,11,,2025.809
2010,11,,2025.11
2009,11,,2024.971
2008,11,,2024.955
2007,11,,2021.364
2006,11,,2021.679
2005,11,,2024.268
2004,11,,2023.416
2003,11,,2017.148
2002,11,,2022.738
2017,12,,2034.429
2016,12,,2032.653
2015,12,,2032.035
2014,12,,2029.892
2013,12,,2030.76
2012,12,,2029.881
2011,12,,2027.691
2010,12,,2030.303
2009,12,,2026.069
2008,12,,2026.916
2007,12,,2025.952
2006,12,,2023.342
2005,12,,2025.449
2004,12,,2023.844
2003,12,,2016.786
2002,12,,2022.11
2017,13,,2034.955
2016,13,,2037.009
2015,13,,2034.334
2014,13,,2034.723
2013,13,,2031.59
2012,13,,2031.61
2011,13,,2031.858
2010,13,,2027.657
2009,13,,2025.935
2008,13,,2027.287
2007,13,,2025.706
2006,13,,2024.166
2005,13,,2024.786
2004,13,,2022.148
2003,13,,2020.987
2002,13,,2024.304
2017,14,,2034.238
2016,14,,2033.833
2015,14,,2030.9
2014,14,,2030.148
2013,14,,2027.889
2012,14,,2026.76
2011,14,,2025.531
2010,14,,2025.61
2009,14,,2022.793
2008,14,,2023.165
2007,14,,2020.465
2006,14,,2022.895
2005,14,,2021.797
2004,14,,2020.439
2003,14,,2015.686
2002,14,,2019.118
2017,15,,2036.891
2016,15,,2034.707
2015,15,,2035.643
2014,15,,2036.087
2013,15,,2031.054
2012,15,,2029.95
2011,15,,2029.341
2010,15,,2029.671
2009,15,,2025.781
2008,15,,2025.488
2007,15,,2024.87
2006,15,,2024.856
2005,15,,2026.708
2004,15,,2025.152
2003,15,,2020.862
2002,15,,2025.378
2017,16,,2036.619
2016,16,,2035.279
2015,16,,2034.572
2014,16,,2032.195
2013,16,,2031.251
2012,16,,2031.165
2011,16,,2028.803
2010,16,,2029.58
2009,16,,2025.771
2008,16,,2026.88
2007,16,,2025.545
2006,16,,2025.437
2005,16,,2026.016
2004,16,,2024.669
2003,16,,2020.724
2002,16,,2023.57
2017,17,,2038.421
2016,17,,2038.247
2015,17,,2036.335
2014,17,,2035.586
2013,17,,2029.366
2012,17,,2032.923
2011,17,,2028.333
2010,17,,2028.392
2009,17,,2027.921
2008,17,,2029.283
2007,17,,2023.391
2006,17,,2026.667
2005,17,,2025.95
2004,17,,2026.033
2003,17,,2023.349
2002,17,,2022.239
2017,18,,2035.514
2016,18,,2031.904
2015,18,,2031.986
2014,18,,2032.073
2013,18,,2026.545
2012,18,,2025.599
2011,18,,2025.611
2010,18,,2028.003
2009,18,,2024.469
2008,18,,2024.599
2007,18,,2021.488
2006,18,,2024.184
2005,18,,2021.67
2004,18,,2021.564
2003,18,,2017.894
2002,18,,2019.981
2017,19,,2036.772
2016,19,,2036.12
2015,19,,2036.236
2014,19,,2035.356
2013,19,,2031.922
2012,19,,2032.565
2011,19,,2028.697
2010,19,,2028.611
2009,19,,2026.839
2008,19,,2027.956
2007,19,,2024.656
2006,19,,2022.681
2005,19,,2027.445
2004,19,,2024.77
2003,19,,2020.186
2002,19,,2026.079
2017,20,,2037.614
2016,20,,2036.034
2015,20,,2035.32
2014,20,,2034.345
2013,20,,2030.169
2012,20,,2030.417
2011,20,,2029.174
2010,20,,2030.249
2009,20,,2030.459
2008,20,,2025.15
2007,20,,2026.765
2006,20,,2026.097
2005,20,,2025.392
2004,20,,2024.771
2003,20,,2020.274
2002,20,,2024.443
2017,21,,2037.142
2016,21,,2035.645
2015,21,,2033.744
2014,21,,2035.158
2013,21,,2029.199
2012,21,,2029.093
2011,21,,2027.516
2010,21,,2028.047
2009,21,,2026.441
2008,21,,2027.31
2007,21,,2024.455
2006,21,,2022.666
2005,21,,2023.238
2004,21,,2024.142
2003,21,,2019.895
2002,21,,2021.18
2017,22,,2036.332
2016,22,,2034.204
2015,22,,2033.915
2014,22,,2033.186
2013,22,,2027.904
2012,22,,2030.766
2011,22,,2027.501
2010,22,,2029.598
2009,22,,2023.586
2008,22,,2028.303
2007,22,,2024.441
2006,22,,2024.301
2005,22,,2025.657
2004,22,,2024.834
2003,22,,2020.292
2002,22,,2023.797
2017,23,,2035.891
2016,23,,2033.285
2015,23,,2034.27
2014,23,,2032.356
2013,23,,2028.233
2012,23,,2030.148
2011,23,,2028.056
2010,23,,2027.581
2009,23,,2024.205
2008,23,,2025.424
2007,23,,2023.309
2006,23,,2022.368
2005,23,,2023.127
2004,23,,2023.718
2003,23,,2019.804
2002,23,,2021.438
2017,24,,2038.467
2016,24,,2034.099
2015,24,,2035.167
2014,24,,2035.345
2013,24,,2031.784
2012,24,,2031.736
2011,24,,2029.709
2010,24,,2029.605
2009,24,,2028.521
2008,24,,2025.856
2007,24,,2022.975
2006,24,,2027.729
2005,24,,2022.839
2004,24,,2023.748
2003,24,,2018.229
2002,24,,2024.419
2017,25,,2036.126
2016,25,,2034.633
2015,25,,2032.651
2014,25,,2032.833
2013,25,,2029.039
2012,25,,2030.617
2011,25,,2028.62
2010,25,,2028.55
2009,25,,2026.558
2008,25,,2027.718
2007,25,,2022.782
2006,25,,2024.247
2005,25,,2024.757
2004,25,,2024.182
2003,25,,2020.18
2002,25,,2022.324
2017,26,,2039.199
2016,26,,2035.678
2015,26,,2034.462
2014,26,,2037.521
2013,26,,2030.698
2012,26,,2030.11
2011,26,,2031.787
2010,26,,2027.917
2009,26,,2027.35
2008,26,,2026.602
2007,26,,2026.199
2006,26,,2024.035
2005,26,,2025.437
2004,26,,2025.422
2003,26,,2020.3
2002,26,,2023.314
2017,27,,2036.353
2016,27,,2035.318
2015,27,,2033.217
2014,27,,2034.9
2013,27,,2030.89
2012,27,,2028.232
2011,27,,2027.675
2010,27,,2029.281
2009,27,,2026.785
2008,27,,2027.294
2007,27,,2023.822
2006,27,,2026.345
2005,27,,2026.19
2004,27,,2024.52
2003,27,,2019.882
2002,27,,2024.568
2017,28,,2035.177
2016,28,,2032.85
2015,28,,2032.775
2014,28,,2033.279
2013,28,,2027.42
2012,28,,2029.341
2011,28,,2028.632
2010,28,,2026.885
2009,28,,2025.43
2008,28,,2026.149
2007,28,,2024.46
2006,28,,2022.715
2005,28,,2025.291
2004,28,,2021.181
2003,28,,2017.153
2002,28,,2021.296
2017,29,,2037.868
2016,29,,2032.872
2015,29,,2033.163
2014,29,,2032.542
2013,29,,2030.944
2012,29,,2026.853
2011,29,,2028.145
2010,29,,2026.874
2009,29,,2028.038
2008,29,,2025.275
2007,29,,2024.886
2006,29,,2023.732
2005,29,,2024.71
2004,29,,2020.631
2003,29,,2019.457
2002,29,,2022.73
2017,30,,2034.348
2016,30,,2033.703
2015,30,,2031.193
2014,30,,2032.107
2013,30,,2030.57
2012,30,,2025.988
2011,30,,2025.91
2010,30,,2025.713
2009,30,,2024.634
2008,30,,2024.858
2007,30,,2022.723
2006,30,,2022.728
2005,30,,2024.127
2004,30,,2022.396
2003,30,,2017.953
2002,30,,2022.704
2017,31,,2040.017
2016,31,,2036.412
2015,31,,2038.005
2014,31,,2038.631
2013,31,,2032.157
2012,31,,2030.631
2011,31,,2032.241
2010,31,,2032.446
2009,31,,2030.569
2008,31,,2028.238
2007,31,,2026.663
2006,31,,2027.112
2005,31,,2028.112
2004,31,,2027.461
2003,31,,2021.922
2002,31,,2027.96
2017,32,,2037.152
2016,32,,2034.477
2015,32,,2033.192
2014,32,,2034.037
2013,32,,2029.581
2012,32,,2031.429
2011,32,,2026.935
2010,32,,2028.58
2009,32,,2025.673
2008,32,,2028.499
2007,32,,2025.419
2006,32,,2023.478
2005,32,,2024.986
2004,32,,2025.38
2003,32,,2021.11
2002,32,,2023.727
2017,33,,2036.57
2016,33,,2034.963
2015,33,,2033.697
2014,33,,2032.487
2013,33,,2029.132
2012,33,,2030.324
2011,33,,2029.496
2010,33,,2029.528
2009,33,,2025.835
2008,33,,2026.469
2007,33,,2024.488
2006,33,,2024.481
2005,33,,2024.882
2004,33,,2022.401
2003,33,,2018.437
2002,33,,2024.427
2017,34,,2036.519
2016,34,,2034.887
2015,34,,2032.388
2014,34,,2032.948
2013,34,,2031.275
2012,34,,2031.045
2011,34,,2027.822
2010,34,,2028.552
2009,34,,2026.364
2008,34,,2026.309
2007,34,,2024.392
2006,34,,2023.503
2005,34,,2025.986
2004,34,,2025.312
2003,34,,2020.756
2002,34,,2022.539
2017,35,,2039.331
2016,35,,2034.89
2015,35,,2034.74
2014,35,,2032.678
2013,35,,2030.915
2012,35,,2031.058
2011,35,,2029.02
2010,35,,2028.835
2009,35,,2024.787
2008,35,,2028.079
2007,35,,2025.208
2006,35,,2024.974
2005,35,,2023.702
2004,35,,2023.668
2003,35,,2019.189
2002,35,,2022.45
2017,36,,2038.129
2016,36,,2035.381
2015,36,,2032.1
2014,36,,2033.594
2013,36,,2030.067
2012,36,,2030.946
2011,36,,2029.23
2010,36,,2029.267
2009,36,,2025.825
2008,36,,2026.34
2007,36,,2025.11
2006,36,,2023.633
2005,36,,2022.121
2004,36,,2024.315
2003,36,,2019.631
2002,36,,2022.304
2017,37,,2035.978
2016,37,,2034.726
2015,37,,2033.22
2014,37,,2035.386
2013,37,,2029.711
2012,37,,2027.995
2011,37,,2027.787
2010,37,,2026.967
2009,37,,2026.709
2008,37,,2024.755
2007,37,,2024.374
2006,37,,2027.126
2005,37,,2027.134
2004,37,,2021.954
2003,37,,2020.065
2002,37,,2023.992
2017,38,,2035.218
2016,38,,2035.086
2015,38,,2035.477
2014,38,,2031.596
2013,38,,2030.629
2012,38,,2030.12
2011,38,,2029.321
2010,38,,2027.629
2009,38,,2026.19
2008,38,,2027.639
2007,38,,2024.955
2006,38,,2025.601
2005,38,,2025.051
2004,38,,2025.182
2003,38,,2020.499
2002,38,,2022.221
2017,39,,2038.85
2016,39,,2037.264
2015,39,,2033.072
2014,39,,2034.934
2013,39,,2029.681
2012,39,,2028.953
2011,39,,2029.197
2010,39,,2029.015
2009,39,,2027.234
2008,39,,2028.471
2007,39,,2026.059
2006,39,,2026.079
2005,39,,2025.548
2004,39,,2024.977
2003,39,,2020.925
2002,39,,2024.008
2017,40,,2036.698
2016,40,,2033.805
2015,40,,2032.838
2014,40,,2034.655
2013,40,,2031.067
2012,40,,2028.873
2011,40,,2028.499
2010,40,,2030.325
2009,40,,2026.885
2008,40,,2024.396
2007,40,,2024.69
2006,40,,2025.002
2005,40,,2024.71
2004,40,,2025.996
2003,40,,2021.38
2002,40,,2022.833
2017,41,,2035.799
2016,41,,2034.678
2015,41,,2032.016
2014,41,,2033.388
2013,41,,2030.31
2012,41,,2030.457
2011,41,,2028.099
2010,41,,2026.386
2009,41,,2026.583
2008,41,,2025.794
2007,41,,2024.853
2006,41,,2025.832
2005,41,,2025.935
2004,41,,2023.536
2003,41,,2020.589
2002,41,,2023.905
2017,42,,2037.726
2016,42,,2035.392
2015,42,,2035.6
2014,42,,2032.662
2013,42,,2031.063
2012,42,,2028.715
2011,42,,2030.238
2010,42,,2030.468
2009,42,,2027.683
2008,42,,2025.026
2007,42,,2024.429
2006,42,,2026.676
2005,42,,2026.932
2004,42,,2025.143
2003,42,,2021.91
2002,42,,2025.004
2017,43,,2037.095
2016,43,,2037.057
2015,43,,2034.233
2014,43,,2036.047
2013,43,,2029.279
2012,43,,2029.541
2011,43,,2028.563
2010,43,,2029.391
2009,43,,2024.95
2008,43,,2024.991
2007,43,,2024.889
2006,43,,2023.448
2005,43,,2022.923
2004,43,,2023.847
2003,43,,2018.074
2002,43,,2023.8
2017,44,,2035.83
2016,44,,2036.395
2015,44,,2033.382
2014,44,,2033.623
2013,44,,2030.589
2012,44,,2031.645
2011,44,,2029.379
2010,44,,2028.917
2009,44,,2026.698
2008,44,,2026.061
2007,44,,2025.687
2006,44,,2026.465
2005,44,,2024.751
2004,44,,2026.243
2003,44,,2020.162
2002,44,,2023.394
2017,45,,2038.597
2016,45,,2033.205
2015,45,,2033.734
2014,45,,2033.6
2013,45,,2028.35
2012,45,,2028.937
2011,45,,2029.133
2010,45,,2028.802
2009,45,,2025.228
2008,45,,2025.084
2007,45,,2026.097
2006,45,,2025.592
2005,45,,2024.627
2004,45,,2024.758
2003,45,,2019.723
2002,45,,2023.769
2017,46,,2037.875
2016,46,,2033.796
2015,46,,2035.672
2014,46,,2032.503
2013,46,,2033.725
2012,46,,2031.279
2011,46,,2028.563
2010,46,,2028.668
2009,46,,2026.818
2008,46,,2027.6
2007,46,,2025.359
2006,46,,2025.376
2005,46,,2027.223
2004,46,,2023.22
2003,46,,2019.154
2002,46,,2023.498
2017,47,,2036.929
2016,47,,2031.842
2015,47,,2033.755
2014,47,,2032.309
2013,47,,2030.288
2012,47,,2026.838
2011,47,,2025.624
2010,47,,2026.632
2009,47,,2026.483
2008,47,,2024.921
2007,47,,2022.574
2006,47,,2024.431
2005,47,,2024.386
2004,47,,2024.45
2003,47,,2018.127
2002,47,,2024.063
2017,48,,2036.755
2016,48,,2036.853
2015,48,,2036.065
2014,48,,2036.341
2013,48,,2032.55
2012,48,,2035.249
2011,48,,2031.244
2010,48,,2028.455
2009,48,,2029.082
2008,48,,2027.204
2007,48,,2027.576
2006,48,,2027.101
2005,48,,2026.207
2004,48,,2026.22
2003,48,,2021.214
2002,48,,2023.982
2017,49,,2035.261
2016,49,,2035.228
2015,49,,2033.347
2014,49,,2035.208
2013,49,,2030.049
2012,49,,2028.714
2011,49,,2027.836
2010,49,,2026.494
2009,49,,2023.418
2008,49,,2023.644
2007,49,,2024.306
2006,49,,2023.268
2005,49,,2021.95
2004,49,,2020.932
2003,49,,2019.17
2002,49,,2021.48
2017,50,,2037.227
2016,50,,2034.613
2015,50,,2032.892
2014,50,,2035.761
2013,50,,2032.154
2012,50,,2029.346
2011,50,,2027.897
2010,50,,2029.436
2009,50,,2027.921
2008,50,,2026.715
2007,50,,2025.528
2006,50,,2027.29
2005,50,,2024.049
2004,50,,2024.492
2003,50,,2020.916
2002,50,,2024.018
2017,51,,2035.698
2016,51,,2035.129
2015,51,,2031.14
2014,51,,2033.875
2013,51,,2031.315
2012,51,,2030.047
2011,51,,2027.396
2010,51,,2027.555
2009,51,,2024.871
2008,51,,2023.972
2007,51,,2025.293
2006,51,,2022.416
2005,51,,2022.216
2004,51,,2025.643
2003,51,,2016.953
2002,51,,2020.723
2017,52,,2036.819
2016,52,,2035.902
2015,52,,2037.462
2014,52,,2037.354
2013,52,,2031.876
2012,52,,2030.995
2011,52,,2030.96
2010,52,,2029.872
2009,52,,2025.162
2008,52,,2028.11
2007,52,,2025.534
2006,52,,2027.115
2005,52,,2027.074
2004,52,,2025.898
2003,52,,2022.75
2002,52,,2024.149
2017,53,,2037.031
2016,53,,2035.43
2015,53,,2034.886
2014,53,,2035.439
2013,53,,2031.995
2012,53,,2031.766
2011,53,,2028.208
2010,53,,2028.068
2009,53,,2027.303
2008,53,,2029.469
2007,53,,2023.441
2006,53,,2024.992
2005,53,,2024.823
2004,53,,2025.91
2003,53,,2020.276
2002,53,,2026.235
2017,54,,2038.384
2016,54,,2036.203
2015,54,,2037.932
2014,54,,2036.346
2013,54,,2030.887
2012,54,,2029.337
2011,54,,2030.927
2010,54,,2029.95
2009,54,,2027.916
2008,54,,2027.379
2007,54,,2026.556
2006,54,,2024.728
2005,54,,2027.535
2004,54,,2025.825
2003,54,,2020.859
2002,54,,2024.643
2017,55,,2035.667
2016,55,,2033.301
2015,55,,2033.637
2014,55,,2032.143
2013,55,,2029.998
2012,55,,2028.678
2011,55,,2027.769
2010,55,,2029.014
2009,55,,2027.035
2008,55,,2024.998
2007,55,,2023.297
2006,55,,2021.62
2005,55,,2025.033
2004,55,,2022.008
2003,55,,2020.113
2002,55,,2023.867
2017,56,,2038.226
2016,56,,2035.207
2015,56,,2035.983
2014,56,,2034.326
2013,56,,2028.918
2012,56,,2030.37
2011,56,,2029.092
2010,56,,2026.767
2009,56,,2026.901
2008,56,,2028.327
2007,56,,2027.102
2006,56,,2025.624
2005,56,,2025.203
2004,56,,2024.166
2003,56,,2020.099
2002,56,,2024.975
2017,57,,2038.284
2016,57,,2034.626
2015,57,,2032.819
2014,57,,2037.824
2013,57,,2033.163
2012,57,,2030.307
2011,57,,2031.087
2010,57,,2028.921
2009,57,,2026.482
2008,57,,2028.672
2007,57,,2024.737
2006,57,,2026.232
2005,57,,2024.158
2004,57,,2025.909
2003,57,,2021.259
2002,57,,2024.736
2017,58,,2039.442
2016,58,,2037.387
2015,58,,2038.154
2014,58,,2036.25
2013,58,,2032.843
2012,58,,2032.425
2011,58,,2029.673
2010,58,,2031.24
2009,58,,2029.61
2008,58,,2029.043
2007,58,,2025.989
2006,58,,2026.898
2005,58,,2027.436
2004,58,,2024.948
2003,58,,2021.033
2002,58,,2026.294
2017,59,,2035.887
2016,59,,2035.184
2015,59,,2034.748
2014,59,,2033.264
2013,59,,2031.814
2012,59,,2030.332
2011,59,,2029.83
2010,59,,2030.293
2009,59,,2027.004
2008,59,,2027.658
2007,59,,2025.493
2006,59,,2027.778
2005,59,,2025.306
2004,59,,2025.31
2003,59,,2019.297
2002,59,,2023.493
2017,60,,2038.595
2016,60,,2035.99
2015,60,,2034.282
2014,60,,2034.698
2013,60,,2031.784
2012,60,,2027.986
2011,60,,2031.82
2010,60,,2030.419
2009,60,,2030.98
2008,60,,2026.945
2007,60,,2025.351
2006,60,,2024.326
2005,60,,2025.707
2004,60,,2027.019
2003,60,,2022.141
2002,60,,2024.349
2017,61,,2037.445
2016,61,,2034.863
2015,61,,2035.479
2014,61,,2035.068
2013,61,,2032.708
2012,61,,2028.155
2011,61,,2029.563
2010,61,,2031.139
2009,61,,2024.807
2008,61,,2029.19
2007,61,,2026.413
2006,61,,2024.484
2005,61,,2024.887
2004,61,,2023.214
2003,61,,2023.733
2002,61,,2026.037
2017,62,,2036.321
2016,62,,2031.778
2015,62,,2031.071
2014,62,,2031.075
2013,62,,2027.605
2012,62,,2028.237
2011,62,,2027.563
2010,62,,2026.591
2009,62,,2024.229
2008,62,,2025.692
2007,62,,2023.569
2006,62,,2021.474
2005,62,,2021.632
2004,62,,2020.778
2003,62,,2016.745
2002,62,,2022.906
2017,63,,2037.129
2016,63,,2035.757
2015,63,,2033.507
2014,63,,2034.854
2013,63,,2029.713
2012,63,,2027.446
2011,63,,2029.038
2010,63,,2029.85
2009,63,,2028.756
2008,63,,2024.811
2007,63,,2023.479
2006,63,,2023.699
2005,63,,2024.633
2004,63,,2023.474
2003,63,,2018.658
2002,63,,2022.443
2017,64,,2037.473
2016,64,,2036.605
2015,64,,2031.564
2014,64,,2034.805
2013,64,,2028.806
2012,64,,2028.215
2011,64,,2029.009
2010,64,,2030.192
2009,64,,2027.146
2008,64,,2025.524
2007,64,,2024.636
2006,64,,2022.919
2005,64,,2026.349
2004,64,,2023.921
2003,64,,2021.354
2002,64,,2024.386
2017,65,,2035.649
2016,65,,2031.357
2015,65,,2030.364
2014,65,,2031.814
2013,65,,2026.678
2012,65,,2029.805
2011,65,,2027.175
2010,65,,2025.031
2009,65,,2024.848
2008,65,,2024.463
2007,65,,2022.042
2006,65,,2022.354
2005,65,,2023.186
2004,65,,2024.313
2003,65,,2017.29
2002,65,,2020.17
2017,66,,2036.715
2016,66,,2035.346
2015,66,,2034.715
2014,66,,2031.263
2013,66,,2030.325
2012,66,,2030.128
2011,66,,2028.867
2010,66,,2028.039
2009,66,,2025.825
2008,66,,2024.615
2007,66,,2024.832
2006,66,,2025.232
2005,66,,2024.091
2004,66,,2021.08
2003,66,,2017.54
2002,66,,2022.875
2017,67,,2037.172
2016,67,,2033.67
2015,67,,2035.73
2014,67,,2032.24
2013,67,,2032.351
2012,67,,2031.341
2011,67,,2028.492
2010,67,,2030.31
2009,67,,2026.249
2008,67,,2027.717
2007,67,,2027.367
2006,67,,2024.656
2005,67,,2025.297
2004,67,,2021.808
2003,67,,2020.227
2002,67,,2022.456
2017,68,,2038.432
2016,68,,2034.208
2015,68,,2033.363
2014,68,,2033.18
2013,68,,2031.888
2012,68,,2031.544
2011,68,,2029.803
2010,68,,2027.203
2009,68,,2026.17
2008,68,,2025.455
2007,68,,2025.01
2006,68,,2024.795
2005,68,,2026.032
2004,68,,2024.469
2003,68,,2018.507
2002,68,,2023.514
2017,69,,2035.024
2016,69,,2033.406
2015,69,,2032.471
2014,69,,2033.078
2013,69,,2028.943
2012,69,,2028.363
2011,69,,2028.733
2010,69,,2027.68
2009,69,,2029.611
2008,69,,2027.402
2007,69,,2023.124
2006,69,,2025.06
2005,69,,2027.423
2004,69,,2024.44
2003,69,,2017.809
2002,69,,2021.872
2017,70,,2037.402
2016,70,,2033.931
2015,70,,2033.36
2014,70,,2033.448
2013,70,,2028.523
2012,70,,2028.603
2011,70,,2029.008
2010,70,,2028.663
2009,70,,2026.436
2008,70,,2023.861
2007,70,,2024.3
2006,70,,2026.357
2005,70,,2022.826
2004,70,,2022.627
2003,70,,2022.401
2002,70,,2022.662
2017,71,,2037.247
2016,71,,2036.489
2015,71,,2036.017
2014,71,,2033.778
2013,71,,2029.621
2012,71,,2029.927
2011,71,,2027.942
2010,71,,2026.045
2009,71,,2026.818
2008,71,,2027.866
2007,71,,2024.276
2006,71,,2025.148
2005,71,,2024.663
2004,71,,2023.653
2003,71,,2020.37
2002,71,,2022.289
2017,72,,2037.096
2016,72,,2034.417
2015,72,,2036.098
2014,72,,2035.616
2013,72,,2031.719
2012,72,,2030.245
2011,72,,2030.534
2010,72,,2029.958
2009,72,,2028.238
2008,72,,2024.971
2007,72,,2023.895
2006,72,,2026.66
2005,72,,2024.668
2004,72,,2026.03
2003,72,,2021.465
2002,72,,2024.808
2017,73,,2038.332
2016,73,,2035.349
2015,73,,2035.042
2014,73,,2034.096
2013,73,,2031.875
2012,73,,2030.674
2011,73,,2028.952
2010,73,,2027.85
2009,73,,2028.344
2008,73,,2027.77
2007,73,,2025.803
2006,73,,2026.858
2005,73,,2023.617
2004,73,,2025.625
2003,73,,2022.007
2002,73,,2024.032
2017,74,,2038.362
2016,74,,2035.462
2015,74,,2036.833
2014,74,,2032.416
2013,74,,2030.3
2012,74,,2029.854
2011,74,,2029.595
2010,74,,2028.443
2009,74,,2027.138
2008,74,,2029.64
2007,74,,2024.59
2006,74,,2026.302
2005,74,,2024.187
2004,74,,2025.72
2003,74,,2019.483
2002,74,,2025.27
2017,75,,2035.936
2016,75,,2037.997
2015,75,,2033.312
2014,75,,2036.559
2013,75,,2028.706
2012,75,,2029.565
2011,75,,2030.24
2010,75,,2029.916
2009,75,,2027.129
2008,75,,2024.897
2007,75,,2025.08
2006,75,,2024.946
2005,75,,2024.446
2004,75,,2024.418
2003,75,,2021.389
2002,75,,2023.159
2017,76,,2034.284
2016,76,,2033.446
2015,76,,2034.671
2014,76,,2032.081
2013,76,,2031.803
2012,76,,2027.948
2011,76,,2029.938
2010,76,,2024.492
2009,76,,2026.519
2008,76,,2025.75
2007,76,,2022.078
2006,76,,2022.247
2005,76,,2022.75
2004,76,,2024.988
2003,76,,2016.942
2002,76,,2021.105
2017,77,,2036.725
2016,77,,2033.712
2015,77,,2033.269
2014,77,,2032.12
2013,77,,2028.279
2012,77,,2027.912
2011,77,,2027.738
2010,77,,2028.707
2009,77,,2024.766
2008,77,,2026.462
2007,77,,2021.811
2006,77,,2021.915
2005,77,,2023.695
2004,77,,2023.54
2003,77,,2018.57
2002,77,,2021.863
2017,78,,2036.32
2016,78,,2035.266
2015,78,,2035.151
2014,78,,2036.013
2013,78,,2031.205
2012,78,,2030.57
2011,78,,2030.79
2010,78,,2028.254
2009,78,,2024.833
2008,78,,2024.793
2007,78,,2023.756
2006,78,,2024.38
2005,78,,2021.77
2004,78,,2024.498
2003,78,,2017.395
2002,78,,2023.323
2017,79,,2037.372
2016,79,,2037.162
2015,79,,2033.914
2014,79,,2033.469
2013,79,,2030.803
2012,79,,2029.715
2011,79,,2030.829
2010,79,,2028.116
2009,79,,2029.824
2008,79,,2027.994
2007,79,,2026.984
2006,79,,2025.042
2005,79,,2024.418
2004,79,,2027.44
2003,79,,2018.618
2002,79,,2023.673
2017,80,,2035.852
2016,80,,2032.841
2015,80,,2029.723
2014,80,,2031.421
2013,80,,2029.955
